Plane,Thermocouple,Exp (T*),CHT (T*)
A,T1,0.831346578,0.847682119
,T2,0.853421634,0.876379691
,T3,0.864679912,0.856512141
B,T4,0.893818985,0.907284768
,T5,0.898233996,0.909492274
,T6,0.843046358,0.878587196
,T7,0.885651214,0.913907285
,T8,0.901103753,0.911699779
C,T9,0.899558499,0.920529801
,T10,0.905739514,0.920529801
,T11,0.881456954,0.91611479
,T12,0.85187638,0.880794702
,T13,0.896247241,0.920529801
,T14,0.90397351,0.927152318
,T15,0.901545254,0.924944812
D,T16,0.903311258,0.896247241
,T17,0.883002208,0.889624724
,T18,0.848344371,0.867549669
,T19,0.88410596,0.89183223
,T20,0.885430464,0.909492274
,T21,0.885430464,0.913907285
,T22,0.871302428,0.907284768
,T23,0.861368653,0.880794702
E,T24,0.865121413,0.876379691
,T25,0.867770419,0.869757174
,T26,0.835099338,0.847682119
,T27,0.854525386,0.856512141
,T28,0.863576159,0.876379691
F,T29,0.863796909,0.880794702
,T30,0.83995585,0.863134658
,T31,0.822958057,0.825607064
,T32,0.834878587,0.830022075
,T33,0.856291391,0.838852097
G,T34,0.882560706,0.909492274
,T35,0.888520971,0.929359823
,T36,0.87615894,0.920529801
,T37,0.838852097,0.865342163
,T38,0.799337748,0.803532009
,T39,0.820750552,0.810154525
,T40,0.850993377,0.847682119
,T41,0.877262693,0.913907285
,T42,0.881456954,0.924944812
,T43,0.857836645,0.905077263
H,T44,0.838852097,0.825607064
,T45,0.812362031,0.801324503
,T46,0.783443709,0.785871965
,T47,0.809050773,0.790286976
,T48,0.830022075,0.823399558
I,T49,0.797350993,0.783664459
,T50,0.786975717,0.783664459
,T51,0.778366446,0.779249448
