Rl/Lg,Exp (T*),CHT (T*)
0.0125,0.970529032,0.975717439
0.025,0.969301157,0.975717439
0.0375,0.969102575,0.975717439
0.05,0.969297668,0.975717439
0.0625,0.969498678,0.975717439
0.075,0.969622334,0.975717439
0.1375,0.971018212,0.975717439
0.2,0.971887998,0.975717439
0.2625,0.972174664,0.977924945
0.325,0.973165207,0.977924945
0.3875,0.973656289,0.977924945
0.45,0.974568687,0.977924945
0.5125,0.975590528,0.977924945
0.575,0.976048434,0.977924945
0.6375,0.97734702,0.977924945
0.7,0.97849939,0.977924945
0.7625,0.979558754,0.975717439
0.825,0.980302139,0.973509934
0.8875,0.980962235,0.969094923
